Driver,Sex,Age,car 1,car 2,car 3,car 4,car 5,car 6,car 7,car 8,car 9,car 10,Favorite Color
Yes,Male,24-29,18000,35000,25000,15000,25000,22000,27000,8000,12000,25000,Black
No,Female,>35,15000,25000,30000,10000,8000,20000,25000,6000,7000,25000,Black
Yes,Male,>35,8000,15000,20000,5000,10000,8000,14000,4800,5700,30000,Gray
Yes,Male,24-29,10000,20000,22000,17000,18000,10000,15000,7000,8000,25000,Gray
Yes,Female,24-29,20000,20000,25000,10000,15000,18000,15000,10000,10000,20000,None
No,Female,24-29,10000,21000,15000,8000,11000,7000,13000,6000,7000,15000,Gray
Yes,Male,>35,15000,20000,40000,6000,11000,16000,17000,5000,6000,30000,Black
Yes,Female,30-35,11000,13000,17000,13000,11500,15000,15000,7500,8500,26000,Black
Yes,Male,30-35,10000,70000,18000,11000,25000,11000,14000,7000,8000,20000,Black
Yes,Male,30-35,8000,9000,11000,5000,8000,5000,9000,4000,4000,9000,None
Yes,Male,30-35,8000,40000,13000,11000,20000,8000,12000,6000,7000,30000,Black
Yes,Female,>35,8000,10000,10000,5000,5000,6000,8000,2000,3000,10000,Black
Yes,Female,30-35,7000,50000,20000,8000,15000,15000,18000,7000,7000,20000,Black
No,Female,30-35,15000,25000,10000,8000,7000,15000,12000,5000,6000,10000,Gray
Yes,Male,30-35,12000,45000,40000,12000,16000,12000,16000,6000,6000,32000,Black
